image_path,phase_label,movement_type
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0039.jpeg,Transition,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0040.jpeg,Transition,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0041.jpeg,Transition,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0042.jpeg,Transition,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0043.jpeg,second_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0044.jpeg,second_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0045.jpeg,second_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0046.jpeg,second_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0047.jpeg,second_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0048.jpeg,second_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0049.jpeg,Turnover,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0050.jpeg,Turnover,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0051.jpeg,Turnover,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0052.jpeg,Turnover,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0053.jpeg,Turnover,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0054.jpeg,Turnover,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0055.jpeg,Turnover,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0056.jpeg,Turnover,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0057.jpeg,Turnover,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0058.jpeg,Turnover,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0059.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0060.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0061.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0062.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0063.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0064.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0065.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0066.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0067.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0068.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0069.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0070.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0071.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0072.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0073.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0074.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0075.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0076.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0077.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0078.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0079.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0080.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0081.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0084.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0085.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0086.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0087.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0088.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0090.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0091.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0092.jpeg,catch1,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0093.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0094.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0095.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0096.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0097.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0098.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0099.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0100.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0101.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0102.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0103.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0104.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0105.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0106.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0107.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0108.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0109.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0110.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0111.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0112.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0113.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0114.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0115.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0116.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0117.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0118.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0119.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0120.jpeg,FirstRecovery,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0121.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0122.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0123.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0124.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0125.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0126.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0127.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0128.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0129.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0130.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0131.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0132.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0133.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0134.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0135.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0136.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0137.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0138.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0139.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0140.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0141.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0142.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0143.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0144.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0145.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0146.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0147.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0148.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0149.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0150.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0151.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0152.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0153.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0154.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0155.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0156.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0157.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0158.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0159.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0160.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0161.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0162.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0163.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0164.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0165.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0166.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0167.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0168.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0169.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0170.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0171.jpeg,End_&_Start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0172.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0173.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0174.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0175.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0176.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0177.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0178.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0179.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0180.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0181.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0182.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0183.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0184.jpeg,Dip,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0185.jpeg,Drive,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0186.jpeg,Drive,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0187.jpeg,Drive,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0188.jpeg,Drive,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0189.jpeg,Drive,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0190.jpeg,Drive,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0191.jpeg,Drive,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0192.jpeg,Drive,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0193.jpeg,Split,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0194.jpeg,Split,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0195.jpeg,Split,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0196.jpeg,Split,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0197.jpeg,Split,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0198.jpeg,Split,FCJ
